state;action_reward;n_state
7548&1|12345&1|19377&1|13430&1|3071&1|9049&1|6924&1|6720&1|19377&1|1020&1;2700&0|16533&1|7548&0;7548&1|12345&1|19377&1|13430&1|3071&1|9049&1|6924&1|6720&1|19377&1|1020&1|2700&0|16533&1|7548&0
8573&1|8573&1|6983&1|20443&1|6242&1|5544&0|6089&1|14190&1|6589&1|6983&1;1408&0|20387&0|18947&0;8573&1|8573&1|6983&1|20443&1|6242&1|5544&0|6089&1|14190&1|6589&1|6983&1|1408&0|20387&0|18947&0
1021&1|11285&1|16037&1|11516&1|16158&1|1157&1|13006&0|3269&0|3020&0|14244&1;15838&0|7737&0|16153&0;1021&1|11285&1|16037&1|11516&1|16158&1|1157&1|13006&0|3269&0|3020&0|14244&1|15838&0|7737&0|16153&0
7841&0|13598&0|14842&1|16914&1|7617&1|419&1|16932&1|7865&1|14292&1|8531&0;8531&0|11929&1|20285&1;7841&0|13598&0|14842&1|16914&1|7617&1|419&1|16932&1|7865&1|14292&1|8531&0|8531&0|11929&1|20285&1
5368&0|18947&0|10150&0|15517&1|11072&0|9164&0|12586&0|20481&0|13689&0|9164&0;14047&0|20734&0|1293&0;5368&0|18947&0|10150&0|15517&1|11072&0|9164&0|12586&0|20481&0|13689&0|9164&0|14047&0|20734&0|1293&0
2832&0|997&1|5508&0|14560&0|10196&0|17820&0|11820&0|17653&0|997&0|17904&0;7845&0|4473&0|272&0;2832&0|997&1|5508&0|14560&0|10196&0|17820&0|11820&0|17653&0|997&0|17904&0|7845&0|4473&0|272&0
9330&0|14233&0|3315&0|12822&0|10412&0|1367&0|17093&0|1081&0|6128&0|2373&1;977&0|11268&1|18814&0;9330&0|14233&0|3315&0|12822&0|10412&0|1367&0|17093&0|1081&0|6128&0|2373&1|977&0|11268&1|18814&0
18687&0|11781&0|14649&0|9847&0|12127&1|18156&0|11276&1|1288&1|11276&0|12127&0;5057&0|17049&0|14066&0;18687&0|11781&0|14649&0|9847&0|12127&1|18156&0|11276&1|1288&1|11276&0|12127&0|5057&0|17049&0|14066&0
9045&0|16996&0|8591&0|16996&0|7463&0|11659&0|12084&0|3040&1|6220&1|16996&1;8591&0|9045&0|7463&0;9045&0|16996&0|8591&0|16996&0|7463&0|11659&0|12084&0|3040&1|6220&1|16996&1|8591&0|9045&0|7463&0
18775&0|7957&0|15667&0|18327&1|3684&0|11850&0|6883&0|5798&0|15940&0|14633&0;5480&1|9968&0|284&0;18775&0|7957&0|15667&0|18327&1|3684&0|11850&0|6883&0|5798&0|15940&0|14633&0|5480&1|9968&0|284&0
5564&1|3490&0|8934&0|8981&0|1224&1|18984&0|18940&1|15216&1|12604&1|19094&1;18886&1|15581&1|8981&1;5564&1|3490&0|8934&0|8981&0|1224&1|18984&0|18940&1|15216&1|12604&1|19094&1|18886&1|15581&1|8981&1
19731&0|10970&1|551&0|1472&0|8535&1|19848&0|15418&0|17125&0|5128&0|8535&0;16795&0|10502&0|158&1;19731&0|10970&1|551&0|1472&0|8535&1|19848&0|15418&0|17125&0|5128&0|8535&0|16795&0|10502&0|158&1
3278&0|15216&1|18075&0|1224&0|20387&1|18075&1|11484&1|12493&1|20387&1|12493&1;1284&0|20387&0|19895&0;3278&0|15216&1|18075&0|1224&0|20387&1|18075&1|11484&1|12493&1|20387&1|12493&1|1284&0|20387&0|19895&0
4905&1|1282&1|16482&1|13888&1|1730&0|4905&0|9885&0|1282&1|4905&0|947&1;2302&0|947&1|16482&1;4905&1|1282&1|16482&1|13888&1|1730&0|4905&0|9885&0|1282&1|4905&0|947&1|2302&0|947&1|16482&1
7162&0|11762&0|15216&0|8934&0|6608&0|12604&0|4312&0|18886&0|2720&0|18984&0;4886&0|7959&0|17446&1;7162&0|11762&0|15216&0|8934&0|6608&0|12604&0|4312&0|18886&0|2720&0|18984&0|4886&0|7959&0|17446&1
9886&1|19883&0|163&0|1538&0|10047&1|13682&0|11429&0|9248&0|11429&1|2717&0;10145&1|17023&1|15105&0;9886&1|19883&0|163&0|1538&0|10047&1|13682&0|11429&0|9248&0|11429&1|2717&0|10145&1|17023&1|15105&0
4173&0|19764&0|19966&0|15811&0|380&0|7041&0|14585&0|12523&1|19392&0|1293&1;20553&1|10018&1|20350&1;4173&0|19764&0|19966&0|15811&0|380&0|7041&0|14585&0|12523&1|19392&0|1293&1|20553&1|10018&1|20350&1
9856&1|12003&1|19099&1|11833&1|13263&1|10565&1|15447&1|1616&1|3576&1|18878&0;11833&1|894&1|18904&1;9856&1|12003&1|19099&1|11833&1|13263&1|10565&1|15447&1|1616&1|3576&1|18878&0|11833&1|894&1|18904&1
