state;action_reward;n_state 
2617&1|7363&1|11480&1|7724&1|15661&0|8566&0|3554&1|545&0|15170&0|10747&1;8494&0|19466&0|9727&0;2617&1|7363&1|11480&1|7724&1|15661&0|8566&0|3554&1|545&0|15170&0|10747&1|8494&0|19466&0|9727&0
9387&0|11562&1|6901&0|3903&1|15151&0|7019&0|17159&0|20085&1|16671&1|620&0;17068&0|20592&0|16352&0;9387&0|11562&1|6901&0|3903&1|15151&0|7019&0|17159&0|20085&1|16671&1|620&0|17068&0|20592&0|16352&0
15532&0|18227&0|401&0|20618&1|20501&0|7999&1|20501&1|17712&1|14226&1|16691&1;2714&1|6943&1|15712&1;15532&0|18227&0|401&0|20618&1|20501&0|7999&1|20501&1|17712&1|14226&1|16691&1|2714&1|6943&1|15712&1
1284&0|18886&0|20387&0|18075&0|5564&1|18984&0|12604&0|19094&0|4017&0|12588&0;4312&0|11762&0|7162&1;1284&0|18886&0|20387&0|18075&0|5564&1|18984&0|12604&0|19094&0|4017&0|12588&0|4312&0|11762&0|7162&1
3958&1|1989&1|13093&1|18042&1|12934&1|12745&1|9034&1|12438&1|19764&1|2664&1;9870&1|5011&1|19167&1;3958&1|1989&1|13093&1|18042&1|12934&1|12745&1|9034&1|12438&1|19764&1|2664&1|9870&1|5011&1|19167&1
12785&1|4530&1|3215&0|8882&1|3215&0|12108&1|14188&1|3162&1|14474&1|6518&1;6019&1|15092&1|4254&1;12785&1|4530&1|3215&0|8882&1|3215&0|12108&1|14188&1|3162&1|14474&1|6518&1|6019&1|15092&1|4254&1
15896&0|3575&0|15896&0|17802&0|10981&1|3365&0|6202&0|14820&1|14612&1|8985&1;14524&1|9293&0|8267&1;15896&0|3575&0|15896&0|17802&0|10981&1|3365&0|6202&0|14820&1|14612&1|8985&1|14524&1|9293&0|8267&1
16796&1|7335&1|13858&1|1284&1|15871&1|9049&0|12172&0|18450&1|751&0|2280&1;15267&1|12604&1|5900&1;16796&1|7335&1|13858&1|1284&1|15871&1|9049&0|12172&0|18450&1|751&0|2280&1|15267&1|12604&1|5900&1
17315&0|20299&0|16409&0|10782&1|20313&0|3458&1|13677&0|6076&1|8430&1|8084&0;4871&0|2453&1|16701&1;17315&0|20299&0|16409&0|10782&1|20313&0|3458&1|13677&0|6076&1|8430&1|8084&0|4871&0|2453&1|16701&1
19834&1|1429&1|4890&0|14993&1|570&0|9611&0|5544&0|6003&0|8535&1|1115&1;6917&0|14920&0|10368&0;19834&1|1429&1|4890&0|14993&1|570&0|9611&0|5544&0|6003&0|8535&1|1115&1|6917&0|14920&0|10368&0
9853&1|10642&0|15216&1|2494&0|13163&1|8566&1|7162&1|13598&0|9657&1|13163&0;13709&0|16975&1|15732&1;9853&1|10642&0|15216&1|2494&0|13163&1|8566&1|7162&1|13598&0|9657&1|13163&0|13709&0|16975&1|15732&1
9885&1|17873&0|1850&1|947&1|7014&1|19487&0|4952&1|15374&0|15344&1|4364&1;19496&0|4794&1|4952&0;9885&1|17873&0|1850&1|947&1|7014&1|19487&0|4952&1|15374&0|15344&1|4364&1|19496&0|4794&1|4952&0
10747&1|6206&1|18412&1|12377&0|18819&0|4017&1|5623&1|20279&0|3913&1|10747&0;7175&1|6206&1|308&1;10747&1|6206&1|18412&1|12377&0|18819&0|4017&1|5623&1|20279&0|3913&1|10747&0|7175&1|6206&1|308&1
14011&0|20508&0|14011&0|14011&1|6752&1|11820&1|20073&0|6393&0|20073&0|8927&0;6398&0|4473&0|20073&0;14011&0|20508&0|14011&0|14011&1|6752&1|11820&1|20073&0|6393&0|20073&0|8927&0|6398&0|4473&0|20073&0
19666&0|18366&0|13815&1|15270&0|17767&0|10749&0|19290&0|19290&1|18366&1|2815&1;1671&0|1671&1|20027&0;19666&0|18366&0|13815&1|15270&0|17767&0|10749&0|19290&0|19290&1|18366&1|2815&1|1671&0|1671&1|20027&0
16200&1|8848&1|18075&0|7050&1|12588&0|18075&0|13278&1|14005&0|12588&1|18075&0;11684&1|15841&1|11684&1;16200&1|8848&1|18075&0|7050&1|12588&0|18075&0|13278&1|14005&0|12588&1|18075&0|11684&1|15841&1|11684&1
14120&1|12522&0|12057&0|14326&0|14120&0|12057&1|15364&1|5795&1|11889&0|175&0;13468&0|9853&0|9657&1;14120&1|12522&0|12057&0|14326&0|14120&0|12057&1|15364&1|5795&1|11889&0|175&0|13468&0|9853&0|9657&1
742&0|6174&0|11031&0|5875&1|6885&0|14443&1|14745&1|3051&1|8938&1|15653&0;11607&1|6994&0|294&0;742&0|6174&0|11031&0|5875&1|6885&0|14443&1|14745&1|3051&1|8938&1|15653&0|11607&1|6994&0|294&0
6779&0|707&1|7162&0|10642&0|9853&0|20481&0|9942&0|15344&1|10364&0|13709&0;11945&0|6041&0|20285&0;6779&0|707&1|7162&0|10642&0|9853&0|20481&0|9942&0|15344&1|10364&0|13709&0|11945&0|6041&0|20285&0
8971&0|9020&0|17162&1|7570&1|8506&0|14653&0|11504&0|4992&1|10114&0|8623&0;1469&0|7076&0|16502&0;8971&0|9020&0|17162&1|7570&1|8506&0|14653&0|11504&0|4992&1|10114&0|8623&0|1469&0|7076&0|16502&0
9870&1|14047&1|20652&0|4092&0|18816&0|752&1|1451&0|15560&0|7262&0|15588&0;20047&1|14328&1|11903&0;9870&1|14047&1|20652&0|4092&0|18816&0|752&1|1451&0|15560&0|7262&0|15588&0|20047&1|14328&1|11903&0
11180&0|9143&1|3567&0|365&1|20644&0|2409&0|14572&0|1311&1|16605&1|4179&0;12667&0|17367&0|6240&0;11180&0|9143&1|3567&0|365&1|20644&0|2409&0|14572&0|1311&1|16605&1|4179&0|12667&0|17367&0|6240&0
5887&0|2051&0|2577&0|12390&0|8972&1|20221&0|10716&1|8258&0|19736&0|15123&1;13756&0|9564&1|5423&0;5887&0|2051&0|2577&0|12390&0|8972&1|20221&0|10716&1|8258&0|19736&0|15123&1|13756&0|9564&1|5423&0
5024&0|17479&0|3388&0|1284&0|893&0|20481&0|12402&0|1900&0|3084&0|3949&0;3235&0|11682&0|14932&0;5024&0|17479&0|3388&0|1284&0|893&0|20481&0|12402&0|1900&0|3084&0|3949&0|3235&0|11682&0|14932&0
11233&1|18027&0|6934&1|4890&0|4390&1|19439&1|15448&1|8672&1|10939&0|282&0;365&1|15474&1|12010&0;11233&1|18027&0|6934&1|4890&0|4390&1|19439&1|15448&1|8672&1|10939&0|282&0|365&1|15474&1|12010&0
7963&0|2303&0|2303&0|18655&0|10219&0|11204&0|6937&1|2955&0|11777&0|9356&1;8278&0|8590&0|18771&0;7963&0|2303&0|2303&0|18655&0|10219&0|11204&0|6937&1|2955&0|11777&0|9356&1|8278&0|8590&0|18771&0
8798&1|3932&0|5914&0|10378&0|16205&0|5011&0|15635&0|10150&0|9510&0|13011&0;14537&1|12289&1|2720&0;8798&1|3932&0|5914&0|10378&0|16205&0|5011&0|15635&0|10150&0|9510&0|13011&0|14537&1|12289&1|2720&0
8202&1|12191&1|307&0|3109&1|9225&1|933&1|11720&1|9313&0|8992&0|10876&1;15919&0|3939&0|18210&0;8202&1|12191&1|307&0|3109&1|9225&1|933&1|11720&1|9313&0|8992&0|10876&1|15919&0|3939&0|18210&0
5884&1|13763&1|5884&0|18386&1|18386&0|2277&1|6594&0|1385&1|9216&1|13811&0;14580&1|8364&1|20367&1;5884&1|13763&1|5884&0|18386&1|18386&0|2277&1|6594&0|1385&1|9216&1|13811&0|14580&1|8364&1|20367&1
14811&0|9439&1|12507&1|15325&1|386&0|2526&1|13006&0|15048&0|3182&1|7291&1;663&1|8108&1|8052&1;14811&0|9439&1|12507&1|15325&1|386&0|2526&1|13006&0|15048&0|3182&1|7291&1|663&1|8108&1|8052&1
12946&1|14295&1|11902&0|13954&1|14871&1|9347&1|775&1|2439&1|12278&1|679&1;18024&0|14060&0|18839&1;12946&1|14295&1|11902&0|13954&1|14871&1|9347&1|775&1|2439&1|12278&1|679&1|18024&0|14060&0|18839&1
17078&0|8692&0|17078&0|3177&0|5538&0|13892&0|4958&0|4455&0|13700&0|13658&0;5406&0|8603&0|1091&1;17078&0|8692&0|17078&0|3177&0|5538&0|13892&0|4958&0|4455&0|13700&0|13658&0|5406&0|8603&0|1091&1
16722&0|11164&0|20577&0|184&0|16722&0|3817&0|9402&1|9402&0|5800&1|5201&0;4003&0|1090&0|1878&0;16722&0|11164&0|20577&0|184&0|16722&0|3817&0|9402&1|9402&0|5800&1|5201&0|4003&0|1090&0|1878&0
11064&1|9322&1|14380&1|16544&1|14399&1|11026&1|5135&1|19733&1|20108&0|12863&1;9322&1|1697&0|5958&0;11064&1|9322&1|14380&1|16544&1|14399&1|11026&1|5135&1|19733&1|20108&0|12863&1|9322&1|1697&0|5958&0
8776&1|15485&1|2641&1|9853&1|7256&0|9422&0|8841&0|10099&1|14120&1|8718&0;16156&0|8305&1|9133&0;8776&1|15485&1|2641&1|9853&1|7256&0|9422&0|8841&0|10099&1|14120&1|8718&0|16156&0|8305&1|9133&0
11484&1|20387&0|13715&0|19895&0|18075&0|19349&0|5564&0|18940&0|1224&0|19094&0;19349&1|1445&1|13715&1;11484&1|20387&0|13715&0|19895&0|18075&0|19349&0|5564&0|18940&0|1224&0|19094&0|19349&1|1445&1|13715&1
12493&0|11484&0|1224&0|20387&0|19895&0|1284&0|20387&0|1284&1|11749&0|11484&0;1224&0|19094&0|18075&0;12493&0|11484&0|1224&0|20387&0|19895&0|1284&0|20387&0|1284&1|11749&0|11484&0|1224&0|19094&0|18075&0
10870&1|3551&1|3549&1|8758&0|16404&1|4041&1|11105&1|11743&1|5960&1|16572&1;11023&0|19475&1|8624&0;10870&1|3551&1|3549&1|8758&0|16404&1|4041&1|11105&1|11743&1|5960&1|16572&1|11023&0|19475&1|8624&0
575&0|13992&0|5590&0|13587&0|11041&0|2319&0|12606&0|8556&0|17566&0|5858&1;7418&0|2724&0|8467&0;575&0|13992&0|5590&0|13587&0|11041&0|2319&0|12606&0|8556&0|17566&0|5858&1|7418&0|2724&0|8467&0
20387&0|4362&1|5564&1|18984&1|1224&1|11484&0|4945&0|12604&1|19895&1|18075&1;4312&1|18886&0|11762&1;20387&0|4362&1|5564&1|18984&1|1224&1|11484&0|4945&0|12604&1|19895&1|18075&1|4312&1|18886&0|11762&1
16029&1|14652&0|13077&0|16626&1|3195&1|12242&1|14652&1|13598&0|13077&1|8065&0;18763&1|6513&1|3195&1;16029&1|14652&0|13077&0|16626&1|3195&1|12242&1|14652&1|13598&0|13077&1|8065&0|18763&1|6513&1|3195&1
12168&0|11400&0|15222&0|7326&0|4282&1|1352&0|682&0|18980&1|17726&1|12965&0;5279&1|18980&0|6949&1;12168&0|11400&0|15222&0|7326&0|4282&1|1352&0|682&0|18980&1|17726&1|12965&0|5279&1|18980&0|6949&1
14040&0|18887&0|1310&1|15992&0|16730&0|11682&0|19618&1|1510&1|9049&0|8101&1;8113&1|15841&1|1284&1;14040&0|18887&0|1310&1|15992&0|16730&0|11682&0|19618&1|1510&1|9049&0|8101&1|8113&1|15841&1|1284&1
854&1|3833&1|3692&1|854&1|9849&1|15604&1|8748&1|15325&1|4128&1|12404&1;7281&1|9439&1|15967&1;854&1|3833&1|3692&1|854&1|9849&1|15604&1|8748&1|15325&1|4128&1|12404&1|7281&1|9439&1|15967&1
5328&0|10934&0|6332&0|1036&1|16132&0|19972&0|12821&1|3738&1|11240&0|13236&0;19343&0|6735&0|5695&0;5328&0|10934&0|6332&0|1036&1|16132&0|19972&0|12821&1|3738&1|11240&0|13236&0|19343&0|6735&0|5695&0
17262&0|8919&0|1402&0|1269&0|15749&0|14694&0|17371&0|9275&0|5498&0|594&0;1269&1|17204&0|1402&1;17262&0|8919&0|1402&0|1269&0|15749&0|14694&0|17371&0|9275&0|5498&0|594&0|1269&1|17204&0|1402&1
5132&1|15949&0|20238&0|6091&1|5059&0|19534&1|9549&1|9549&0|11136&0|7833&0;17608&0|5132&1|11651&1;5132&1|15949&0|20238&0|6091&1|5059&0|19534&1|9549&1|9549&0|11136&0|7833&0|17608&0|5132&1|11651&1
3182&1|3554&1|19357&0|11994&0|18005&0|19588&1|8776&0|15910&1|578&0|8195&0;3500&1|13959&0|8599&0;3182&1|3554&1|19357&0|11994&0|18005&0|19588&1|8776&0|15910&1|578&0|8195&0|3500&1|13959&0|8599&0
16434&0|5703&0|15216&1|5971&0|14634&1|14652&1|14652&1|11749&1|14634&0|3554&0;15216&1|14634&1|5971&1;16434&0|5703&0|15216&1|5971&0|14634&1|14652&1|14652&1|11749&1|14634&0|3554&0|15216&1|14634&1|5971&1
19366&0|17291&1|11189&1|8072&0|13453&0|19807&0|10858&0|1265&0|558&1|6110&0;7276&0|13165&0|496&1;19366&0|17291&1|11189&1|8072&0|13453&0|19807&0|10858&0|1265&0|558&1|6110&0|7276&0|13165&0|496&1
12507&0|14089&1|1491&1|2526&0|8108&1|2526&0|6617&1|663&1|9454&1|12507&1;9430&1|5323&1|20409&1;12507&0|14089&1|1491&1|2526&0|8108&1|2526&0|6617&1|663&1|9454&1|12507&1|9430&1|5323&1|20409&1
10912&1|4718&1|3386&1|4181&1|2457&1|8709&1|16184&1|9348&1|12407&0|14639&1;8709&1|12407&1|658&1;10912&1|4718&1|3386&1|4181&1|2457&1|8709&1|16184&1|9348&1|12407&0|14639&1|8709&1|12407&1|658&1
4485&0|15216&0|17226&0|7066&0|7066&0|17226&1|9942&0|1281&0|8943&0|4485&1;9942&1|15343&0|4485&0;4485&0|15216&0|17226&0|7066&0|7066&0|17226&1|9942&0|1281&0|8943&0|4485&1|9942&1|15343&0|4485&0
1168&0|15945&0|12823&1|4832&0|19687&0|6861&0|5550&1|7697&0|4017&0|9174&0;15043&0|11790&0|14431&0;1168&0|15945&0|12823&1|4832&0|19687&0|6861&0|5550&1|7697&0|4017&0|9174&0|15043&0|11790&0|14431&0
20633&1|2353&1|19620&1|6213&1|18073&1|18106&1|4697&0|10507&1|1040&1|17111&1;10042&1|9013&1|15234&1;20633&1|2353&1|19620&1|6213&1|18073&1|18106&1|4697&0|10507&1|1040&1|17111&1|10042&1|9013&1|15234&1
3872&0|3477&0|12205&1|6725&0|19208&0|7052&1|2259&0|9206&0|3002&1|17956&0;4935&0|12143&0|16394&0;3872&0|3477&0|12205&1|6725&0|19208&0|7052&1|2259&0|9206&0|3002&1|17956&0|4935&0|12143&0|16394&0
16956&0|11356&0|17116&0|16836&0|5057&0|18463&0|3725&0|5904&0|11921&0|2121&0;11256&0|7540&0|5904&1;16956&0|11356&0|17116&0|16836&0|5057&0|18463&0|3725&0|5904&0|11921&0|2121&0|11256&0|7540&0|5904&1
19173&1|12884&1|697&1|13642&1|11915&1|132&1|13339&1|8742&1|8783&1|7197&1;7738&1|4169&0|4169&1;19173&1|12884&1|697&1|13642&1|11915&1|132&1|13339&1|8742&1|8783&1|7197&1|7738&1|4169&0|4169&1
13926&0|532&0|3473&1|2583&1|6118&0|15023&0|19383&0|7471&1|4674&0|9425&1;11283&0|10719&0|8515&0;13926&0|532&0|3473&1|2583&1|6118&0|15023&0|19383&0|7471&1|4674&0|9425&1|11283&0|10719&0|8515&0
15216&1|12023&1|8718&0|11749&0|4192&0|4289&1|3060&1|12872&1|7291&0|16262&1;14700&0|14700&1|1224&0;15216&1|12023&1|8718&0|11749&0|4192&0|4289&1|3060&1|12872&1|7291&0|16262&1|14700&0|14700&1|1224&0
12651&0|3512&1|866&0|2998&0|2646&0|12229&1|16863&1|6799&0|866&1|4997&0;6440&1|13905&0|4841&0;12651&0|3512&1|866&0|2998&0|2646&0|12229&1|16863&1|6799&0|866&1|4997&0|6440&1|13905&0|4841&0
6239&1|13689&1|20636&1|11726&1|1059&1|2276&1|16029&1|8391&1|15100&1|12193&1;12909&1|12157&0|6580&1;6239&1|13689&1|20636&1|11726&1|1059&1|2276&1|16029&1|8391&1|15100&1|12193&1|12909&1|12157&0|6580&1
11337&1|11669&1|10168&1|8798&1|2314&1|16547&1|5399&1|12359&1|6193&1|3335&0;15398&0|4941&0|1025&0;11337&1|11669&1|10168&1|8798&1|2314&1|16547&1|5399&1|12359&1|6193&1|3335&0|15398&0|4941&0|1025&0
19982&1|11902&1|13658&1|4976&1|490&1|7853&1|16707&1|13872&1|1269&1|11432&0;15138&1|5965&1|2577&1;19982&1|11902&1|13658&1|4976&1|490&1|7853&1|16707&1|13872&1|1269&1|11432&0|15138&1|5965&1|2577&1
2681&1|4395&1|5724&0|20084&0|8686&0|17682&0|7580&0|962&0|8439&1|11395&1;12307&1|20475&0|18123&0;2681&1|4395&1|5724&0|20084&0|8686&0|17682&0|7580&0|962&0|8439&1|11395&1|12307&1|20475&0|18123&0
14634&1|17692&0|17692&1|20272&1|2183&0|16139&0|20272&0|119&0|14223&0|3682&0;7517&0|4046&0|17163&0;14634&1|17692&0|17692&1|20272&1|2183&0|16139&0|20272&0|119&0|14223&0|3682&0|7517&0|4046&0|17163&0
1284&0|1616&0|2467&0|10164&0|19782&0|10565&0|8559&1|13028&1|13684&1|13372&0;11304&0|7916&0|9202&0;1284&0|1616&0|2467&0|10164&0|19782&0|10565&0|8559&1|13028&1|13684&1|13372&0|11304&0|7916&0|9202&0
8100&0|20370&0|165&0|5002&0|1310&0|2427&0|19948&0|9276&0|17932&0|4899&0;8339&0|5554&0|17932&1;8100&0|20370&0|165&0|5002&0|1310&0|2427&0|19948&0|9276&0|17932&0|4899&0|8339&0|5554&0|17932&1
17458&0|5608&1|9563&0|1719&0|5608&0|6402&0|12371&0|19953&0|6402&1|18164&1;10517&1|6290&1|7652&1;17458&0|5608&1|9563&0|1719&0|5608&0|6402&0|12371&0|19953&0|6402&1|18164&1|10517&1|6290&1|7652&1
11740&0|167&0|11740&0|1998&1|18702&1|12747&0|2092&1|18702&1|12747&0|8963&0;8963&1|18702&1|12747&0;11740&0|167&0|11740&0|1998&1|18702&1|12747&0|2092&1|18702&1|12747&0|8963&0|8963&1|18702&1|12747&0
18940&1|12588&0|5564&1|20387&1|3490&0|19895&0|11484&1|18075&0|19895&1|11484&1;12604&0|8981&0|15581&0;18940&1|12588&0|5564&1|20387&1|3490&0|19895&0|11484&1|18075&0|19895&1|11484&1|12604&0|8981&0|15581&0
2551&0|18346&1|20733&1|5025&1|5251&1|887&1|13782&1|19649&0|10991&0|10545&1;7618&1|7855&1|1472&1;2551&0|18346&1|20733&1|5025&1|5251&1|887&1|13782&1|19649&0|10991&0|10545&1|7618&1|7855&1|1472&1
17569&1|9684&1|2993&1|4336&1|19534&0|5196&1|5919&1|5919&0|16228&1|2093&1;8629&1|17171&1|20109&0;17569&1|9684&1|2993&1|4336&1|19534&0|5196&1|5919&1|5919&0|16228&1|2093&1|8629&1|17171&1|20109&0
20072&1|9707&1|7495&1|4717&1|4717&0|17760&1|17760&1|5268&0|17760&1|17861&0;2568&1|2148&1|3648&1;20072&1|9707&1|7495&1|4717&1|4717&0|17760&1|17760&1|5268&0|17760&1|17861&0|2568&1|2148&1|3648&1
7162&0|7162&1|12604&1|12604&1|11749&1|11484&0|11484&1|7162&1|20387&1|15216&1;12604&1|20387&0|14842&0;7162&0|7162&1|12604&1|12604&1|11749&1|11484&0|11484&1|7162&1|20387&1|15216&1|12604&1|20387&0|14842&0
15013&0|14477&1|2868&1|14443&1|680&1|9942&0|5835&0|8283&0|7585&1|3541&1;7230&0|5535&0|17732&0;15013&0|14477&1|2868&1|14443&1|680&1|9942&0|5835&0|8283&0|7585&1|3541&1|7230&0|5535&0|17732&0
8995&1|13921&1|18140&1|16942&0|18140&0|1998&1|18984&0|8563&0|10970&0|19822&1;18140&1|6893&0|8995&1;8995&1|13921&1|18140&1|16942&0|18140&0|1998&1|18984&0|8563&0|10970&0|19822&1|18140&1|6893&0|8995&1
15581&0|4312&0|18940&0|12588&0|8427&0|5564&0|3490&0|18886&0|12604&0|19094&1;8427&1|2473&0|4447&1;15581&0|4312&0|18940&0|12588&0|8427&0|5564&0|3490&0|18886&0|12604&0|19094&1|8427&1|2473&0|4447&1
14434&0|9358&0|19816&0|7226&0|13563&0|15027&0|2361&1|15275&0|19816&0|14282&0;12654&1|5111&1|10819&1;14434&0|9358&0|19816&0|7226&0|13563&0|15027&0|2361&1|15275&0|19816&0|14282&0|12654&1|5111&1|10819&1
17795&1|469&1|19486&1|3913&1|3025&1|18577&1|4728&1|1253&1|469&1|10827&1;9649&1|11221&1|19447&1;17795&1|469&1|19486&1|3913&1|3025&1|18577&1|4728&1|1253&1|469&1|10827&1|9649&1|11221&1|19447&1
11484&0|16197&1|7162&1|4017&0|20387&0|1224&0|2073&0|18075&1|12493&0|11484&0;12588&1|3490&0|5564&1;11484&0|16197&1|7162&1|4017&0|20387&0|1224&0|2073&0|18075&1|12493&0|11484&0|12588&1|3490&0|5564&1
7142&0|8915&0|1912&0|691&0|5416&0|18616&1|1417&1|8594&1|6736&0|15308&1;10193&1|7314&0|9927&1;7142&0|8915&0|1912&0|691&0|5416&0|18616&1|1417&1|8594&1|6736&0|15308&1|10193&1|7314&0|9927&1
12493&1|1224&1|8981&0|3490&0|5564&0|18984&1|11484&1|12588&0|19094&1|18940&0;18886&0|15581&1|12604&0;12493&1|1224&1|8981&0|3490&0|5564&0|18984&1|11484&1|12588&0|19094&1|18940&0|18886&0|15581&1|12604&0
2453&1|1859&1|5169&1|707&1|6492&1|11902&1|12357&1|9272&1|19982&1|11432&0;13722&1|13658&1|8839&1;2453&1|1859&1|5169&1|707&1|6492&1|11902&1|12357&1|9272&1|19982&1|11432&0|13722&1|13658&1|8839&1
19919&0|20068&1|12729&0|11795&0|1299&0|3872&0|14539&0|3477&0|11813&0|1456&0;16394&0|16313&0|13792&1;19919&0|20068&1|12729&0|11795&0|1299&0|3872&0|14539&0|3477&0|11813&0|1456&0|16394&0|16313&0|13792&1
724&1|9657&1|9657&1|9657&1|20201&1|20201&1|20201&0|624&0|6845&1|7616&0;2580&1|16320&0|2946&0;724&1|9657&1|9657&1|9657&1|20201&1|20201&1|20201&0|624&0|6845&1|7616&0|2580&1|16320&0|2946&0
17582&0|16826&1|12044&1|7769&0|15217&0|11609&1|17582&0|1257&1|8534&0|7512&1;13867&0|18079&1|15768&0;17582&0|16826&1|12044&1|7769&0|15217&0|11609&1|17582&0|1257&1|8534&0|7512&1|13867&0|18079&1|15768&0
1224&1|1637&0|11484&1|4017&1|4083&0|19094&0|13492&1|1224&0|19695&1|1637&1;2634&1|2634&0|10096&0;1224&1|1637&0|11484&1|4017&1|4083&0|19094&0|13492&1|1224&0|19695&1|1637&1|2634&1|2634&0|10096&0
18745&1|16646&0|15533&1|1579&1|7084&1|6296&1|19839&1|17296&0|3594&0|807&1;18745&1|2757&1|2081&1;18745&1|16646&0|15533&1|1579&1|7084&1|6296&1|19839&1|17296&0|3594&0|807&1|18745&1|2757&1|2081&1
16601&0|3662&0|2183&1|14753&1|10565&0|14753&0|10031&0|10031&1|18041&0|10565&0;2183&1|14753&1|10031&1;16601&0|3662&0|2183&1|14753&1|10565&0|14753&0|10031&0|10031&1|18041&0|10565&0|2183&1|14753&1|10031&1
1216&0|10345&1|6661&0|8310&1|3604&1|13824&1|12401&1|14857&0|1216&0|17231&1;10176&0|2240&1|20016&0;1216&0|10345&1|6661&0|8310&1|3604&1|13824&1|12401&1|14857&0|1216&0|17231&1|10176&0|2240&1|20016&0
20461&0|6681&1|6452&0|1197&0|4556&1|19252&0|20114&0|8364&0|7175&0|16436&1;6724&0|10648&1|1365&0;20461&0|6681&1|6452&0|1197&0|4556&1|19252&0|20114&0|8364&0|7175&0|16436&1|6724&0|10648&1|1365&0
5773&1|20283&1|17520&1|18795&1|18348&1|10989&1|19306&1|12266&1|15131&1|11314&0;16091&1|15005&1|15808&1;5773&1|20283&1|17520&1|18795&1|18348&1|10989&1|19306&1|12266&1|15131&1|11314&0|16091&1|15005&1|15808&1
8717&0|14316&0|14239&0|19962&0|5847&0|4922&0|4466&0|6394&0|15563&0|9235&0;1277&1|19257&0|2579&0;8717&0|14316&0|14239&0|19962&0|5847&0|4922&0|4466&0|6394&0|15563&0|9235&0|1277&1|19257&0|2579&0
8996&0|7745&0|2027&0|2354&1|6208&0|9958&0|3591&1|6368&1|17192&0|17723&0;6971&0|14982&0|15482&0;8996&0|7745&0|2027&0|2354&1|6208&0|9958&0|3591&1|6368&1|17192&0|17723&0|6971&0|14982&0|15482&0
14424&0|20071&0|19959&0|3280&0|18544&0|13949&0|6181&0|1966&0|9254&0|10069&0;9254&1|14622&1|10368&1;14424&0|20071&0|19959&0|3280&0|18544&0|13949&0|6181&0|1966&0|9254&0|10069&0|9254&1|14622&1|10368&1
8108&1|3554&0|4546&1|13258&0|8894&1|5883&1|461&1|17778&1|13356&0|9226&0;17257&1|20279&0|9133&0;8108&1|3554&0|4546&1|13258&0|8894&1|5883&1|461&1|17778&1|13356&0|9226&0|17257&1|20279&0|9133&0
20681&1|20316&0|4866&0|7141&0|14323&0|18022&0|951&0|4866&1|13876&0|12021&1;11679&1|1798&1|17914&1;20681&1|20316&0|4866&0|7141&0|14323&0|18022&0|951&0|4866&1|13876&0|12021&1|11679&1|1798&1|17914&1
17603&0|10416&1|15442&0|12721&0|13479&0|10685&0|15311&1|43&0|18119&0|20091&0;12922&0|10719&0|13223&0;17603&0|10416&1|15442&0|12721&0|13479&0|10685&0|15311&1|43&0|18119&0|20091&0|12922&0|10719&0|13223&0
12436&0|1232&0|19964&0|8764&1|3136&0|4739&0|11414&1|3650&1|20630&1|13745&1;8331&1|5801&1|400&0;12436&0|1232&0|19964&0|8764&1|3136&0|4739&0|11414&1|3650&1|20630&1|13745&1|8331&1|5801&1|400&0
10565&1|17626&1|18701&0|10565&1|9413&1|10090&0|10090&0|18701&0|350&1|18701&0;3859&0|18940&1|15310&0;10565&1|17626&1|18701&0|10565&1|9413&1|10090&0|10090&0|18701&0|350&1|18701&0|3859&0|18940&1|15310&0
1566&0|10859&0|5545&1|3210&1|19916&0|17651&0|901&0|11151&0|4651&0|4625&0;12879&0|14402&0|13734&0;1566&0|10859&0|5545&1|3210&1|19916&0|17651&0|901&0|11151&0|4651&0|4625&0|12879&0|14402&0|13734&0
11012&0|2747&1|3743&1|16898&1|7148&0|16557&1|18677&0|18544&0|13269&0|11994&1;11555&0|7633&0|17786&1;11012&0|2747&1|3743&1|16898&1|7148&0|16557&1|18677&0|18544&0|13269&0|11994&1|11555&0|7633&0|17786&1
8621&0|8999&1|11053&1|5571&0|11871&1|7884&0|8759&0|7798&1|19166&0|4913&0;4441&1|2953&0|1507&0;8621&0|8999&1|11053&1|5571&0|11871&1|7884&0|8759&0|7798&1|19166&0|4913&0|4441&1|2953&0|1507&0
11552&1|7162&1|9853&0|13163&0|3946&1|4192&0|6779&0|9942&1|14184&1|15216&1;16975&1|19783&1|12411&0;11552&1|7162&1|9853&0|13163&0|3946&1|4192&0|6779&0|9942&1|14184&1|15216&1|16975&1|19783&1|12411&0
14275&0|7715&1|18825&1|14275&1|8990&1|12298&1|10734&1|11510&1|10184&0|4845&1;14786&1|5125&1|249&1;14275&0|7715&1|18825&1|14275&1|8990&1|12298&1|10734&1|11510&1|10184&0|4845&1|14786&1|5125&1|249&1
19579&1|4363&0|15267&0|7468&1|1597&0|879&0|15930&0|13103&1|8821&0|5558&0;10647&0|12334&0|3588&0;19579&1|4363&0|15267&0|7468&1|1597&0|879&0|15930&0|13103&1|8821&0|5558&0|10647&0|12334&0|3588&0
7778&0|18906&0|7778&0|17455&1|15588&0|15122&0|20452&0|7239&0|8349&1|18906&0;5663&0|11334&0|4291&0;7778&0|18906&0|7778&0|17455&1|15588&0|15122&0|20452&0|7239&0|8349&1|18906&0|5663&0|11334&0|4291&0
